"","Domain","Tuned Hyperparameters","BART model: Rsq_adj","BART model: In-sample RMSE","Null model: In-sample RMSE","BART model: In-sample MAE","Null model: In-sample MAE","BART model: Out-of-sample RMSE","Null model: Out-of-sample RMSE","BART model: Out-of-sample MAE","Null model: Out-of-sample MAE","OOS NRMSE"
"1","1","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.949730357081657","8.15129352870325","36.355793857331","6.06657659592215","31.9144194549693","17.6488189097671","81.2313370271348","13.1410357165767","31.9144194549693","0.0606465876820022"
"2","2","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.979259515881066","5.32440394716418","36.9710301709216","3.87770333696399","31.2774883869995","15.6706983257798","82.3973566912983","12.0923868996115","31.2774883869995","0.0357602800193626"
"3","3","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.949977207848684","7.18887984191576","32.1423229250036","5.00762831225933","25.902789210246","17.8606418743213","71.5865265441299","13.1421869555672","25.902789210246","0.0536072872056244"
"4","4","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.982648660011315","8.76699547546543","66.5555493750244","6.11355062938163","52.5767085245843","20.0709583849344","146.514748880766","15.5981154444642","52.5767085245843","0.0323422402727634"
"5","5","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.960833528010672","11.5398610408736","58.3100417812553","7.92828509371","51.7377434251834","27.1301563562298","130.089930878362","20.4256915950298","51.7377434251834","0.0488758101948893"
"6","6","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.961887085737422","11.8860284661332","60.8836508972266","8.53592106275751","49.6307547366667","29.321977818697","136.086591430303","23.3104348310783","49.6307547366667","0.0423331963796453"
"7","7","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.95706378532376","15.5436149240127","75.013624766004","11.5991895702809","63.7910372036859","35.1248034152331","167.434467739069","26.8251648215467","63.7910372036859","0.0504891235115389"
"8","8","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.953248111575661","10.4149123229519","48.1677144200809","7.28870639084549","39.7861794064853","22.8825709375289","107.084390763614","17.5811327843468","39.7861794064853","0.0469789093664763"
"9","9","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.948418521347523","10.5049407646284","46.253725006145","7.22946130100911","39.310948143306","22.9496789838298","103.392259888371","16.6734816001168","39.310948143306","0.0527882761155548"
"10","10","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.973586121380126","12.9440366218574","79.6441064400539","8.82492853853256","68.0561981175972","30.1499949558494","177.191958382181","24.0044179861002","68.0561981175972","0.0418985365811618"
"11","11","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.975467494466096","13.5387483780111","86.4385681229134","9.30830420598717","73.6043382236395","37.034453610827","192.327425146559","29.7353022515356","73.6043382236395","0.0364870335615202"
"12","12","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.96845275399861","18.2559909902959","102.78380395035","13.2116837533112","87.9542278460658","45.4392553760931","229.584275759725","36.4836715167405","87.9542278460658","0.041229834173971"
"13","13","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.972581951533483","15.5163721410288","93.7069747278543","11.479955971567","80.4476660286328","38.663612156498","209.234815927757","29.8375782343326","80.4476660286328","0.0377613693789868"
"14","14","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.955745705206751","16.7762849793525","79.7476846116996","10.7627784364711","69.1129905811039","39.2780416154048","178.095709127152","30.6289246356754","69.112990581104","0.0493078192731179"
"15","15","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.972931480993971","16.2247918127067","98.6158870169878","12.3133135374655","84.9060841144344","43.1739768375056","219.717534400035","33.2759883266076","84.9060841144344","0.0429062627821583"
"16","16","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.962965858885517","19.8102308150719","102.941003396627","14.7779125346865","88.0801964397076","51.2029386884045","229.798451317561","39.8003494946022","88.0801964397076","0.049092414732185"
"17","17","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.975257570538756","13.9930870667163","88.9595066977308","10.613311554957","79.2528459120994","36.7268872968207","198.24535306576","28.4044038787676","79.2528459120994","0.0423593027458054"
"18","18","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.957896687558431","21.0429598046822","102.553076455706","15.945349295725","88.7692393137484","55.6455757980405","228.871924542889","45.9952161199635","88.7692393137484","0.0550427026807676"
"19","19","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.851178858615596","40.278110426442","104.408720278003","31.8230860776903","89.3428423042478","77.5219298690802","233.37164812997","61.7656894736294","89.3428423042478","0.10049290592777"
"20","20","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.958946475229109","23.4733559738299","115.851046064281","17.5248605883556","98.8028140027774","64.563746888938","257.958712160381","50.5541534849867","98.8028140027773","0.0544341858572885"
"21","21","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.980094364145317","15.0871786793736","106.935032626112","10.7748107346324","92.844558225772","42.2535758051715","238.638847707105","33.1471250068929","92.844558225772","0.0392954219410215"
"22","22","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.966842215282216","7.0447094380123","38.6874701618852","4.94510812331333","32.9198363928845","19.5695892509853","86.2572018685313","15.0469499527784","32.9198363928845","0.0472515886366361"
"23","23","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.969853715290232","11.2190905354707","64.6161018583016","7.37124650373396","53.0578644654298","26.6673024522714","143.710728994304","20.0925412083391","53.0578644654298","0.044626882873698"
"24","24","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.99367070659298","10.8141813836192","135.930224837736","7.77142256983794","118.788733410582","30.6752806377195","302.6186287916","23.7356706602919","118.788733410582","0.0247765845695357"
"25","25","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.990209772206335","8.82901835845698","89.2310536964477","6.56729306227849","75.0222901050945","22.4387964496218","197.551887957612","18.0770136933015","75.0222901050945","0.0275823171117321"
"26","26","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.939321228177667","7.76868510238752","31.5376353299851","5.6424935584966","25.9451125795457","22.4694269277043","70.1740012886425","17.8344570293295","25.9451125795457","0.0424716623601788"
"27","27","k= 0.5 num_trees= 200 q= 0.99 nu= 1","0.980175583840868","12.5991125530459","89.4828386520641","8.19111806250484","77.1669532360506","33.0448889955473","199.433168286801","25.1788737887856","77.1669532360506","0.0382942218754719"
